,,,random,patterns,single characters,onomatopaic,phatic,metalinguistical,someone,political,comic,statements,html/comands,emoticons,senseless,slogans,questions,bully,demanding,egoic,complaint,love,humour,musical,support
3,742,556455635564,x,,,,,,,,,,,,,,,,,,,,,,
3,743,Gggg,,x,,,,,,,,,,,,,,,,,,,,,
3,744,##\#$$$##\#$$$.    ffffggg,x,,,,,,,,,,,,,,,,,,,,,,
3,745,Digdigdig ie,,,,x,,,,,,,,,,,,,,,,,,,
3,746,Cowbell,,,,,,x,,,,,,,,,,,,,,,,x,
3,747,/mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
3,748,seu nome e seu bairro,,,,,,,,,,x,,,x,,,,,,,,,,
3,749,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
3,750,Mi nombre es,,,,,,,,,,x,,,,,,,,x,,,,,
3,751,VOAR VOAR SUBIR SUBIR,,,,,,,,,,x,,,,x,,,,,,,,,
3,752,Alo?,,,,,x,,,,,,,,,,,,,,,,,,
3,753,Quem fala?,,,,,x,,,,,,,,,,,,,,,,,,
3,754,fora geraldo walkman,,,,,,,,x,,,,,,,,,,,,,,,
3,755,deus que quis,,,,,,,,,,x,,,,x,,,,,,,,,
3,756,APROVEITA PRA PAQUERAR O CRUSH,,,,,,,,,,x,,,,,,,,,,,x,,
3,757,<3,,,,,,,,,,,,x,,,,,,,,,,,
3,758,#\#@#,,x,,,,,,,,,,,,,,,,,,,,,
3,759,#\#$#,,x,,,,,,,,,,,,,,,,,,,,,
3,760,#\#@#,,x,,,,,,,,,,,,,,,,,,,,,
3,761,\#$\#@,,x,,,,,,,,,,,,,,,,,,,,,
3,762,Budi ♡,,,,,,,x,,,,,,,,,,,,,,,,
3,763,\#$@#,x,,,,,,,,,,,,,,,,,,,,,,
3,764,lenita te amo,,,,,,,x,,,,,,,,,,,,,x,,,
3,765,👏👏👏👏👏,,,,,,,,,,,,x,,,,,,,,,,,
3,766,$\#$$&##**#&,x,,,,,,,,,,,,,,,,,,,,,,
3,767,Quero musica: joão boto melão no gol,,,,,,,,,,x,,,,,,,,,,,x,,
3,768,8888801,,x,,,,,,,,,,,,,,,,,,,,,
3,769,Booom,,,,x,,,,,,,,,,,,,,,,,,,
0,770,FALSIANE,,,,,,,,,,x,,,,,,x,,,,,,,
0,771,Kabum,,,,x,,,,,,,,,,,,,,,,,,,
0,772,piano!,,,,,,,,,,,x,,,,,,,,,,,,
0,773,".......,.",,x,,,,,,,,,,,,,,,,,,,,,
0,774,Tá de parabéns,,,,,,x,,,,,,,,,,,,,,,,,x
0,775,UUUUUUUUUUU,,,,x,,,,,,,,,,,,,,,,,,,
0,776,..?....#*....#8#;#&#,x,,,,,,,,,,,,,,,,,,,,,,
0,777,$\#$,x,,,,,,,,,,,,,,,,,,,,,,
0,778,\#$,x,,,,,,,,,,,,,,,,,,,,,,
0,779,#,,,x,,,,,,,,,,,,,,,,,,,,
0,780,$,,,x,,,,,,,,,,,,,,,,,,,,
0,781,#,,,x,,,,,,,,,,,,,,,,,,,,
0,782,$/,x,,,,,,,,,,,,,,,,,,,,,,
0,783,vou confessar,,,,,,,,,,x,,,,,,,,x,,,,,
0,784,inglês put a keep até you,,,,,,,,,,x,,,x,,,,,,,,,,
0,785,"$@#/\\\""",x,,,,,,,,,,,,,,,,,,,,,,
0,786,Isso eh mt legal,,,,,,x,,,,,,,,,,,,,,,,,x
0,787,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
0,788,"#\\\""#/",x,,,,,,,,,,,,,,,,,,,,,,
0,789,":\#$^\\\""@3/",x,,,,,,,,,,,,,,,,,,,,,,
0,790,vamo se bjar,,,,,,,,,,x,,,,,,,,,,x,,,
0,791,\#@/:#5#:4#/4,x,,,,,,,,,,,,,,,,,,,,,,
0,792,to apaixonadxs,,,,,,,,,,x,,,,,,,,,,x,,,
0,793,amo mozart,,,,,,,,,,x,,,,,,,,,x,,,,
0,794,\#$3/'35$@/,x,,,,,,,,,,,,,,,,,,,,,,
0,795,"3\\\""-",x,,,,,,,,,,,,,,,,,,,,,,
0,796,3^,x,,,,,,,,,,,,,,,,,,,,,,
0,797,4$#4^,x,,,,,,,,,,,,,,,,,,,,,,
0,798,$,,,x,,,,,,,,,,,,,,,,,,,,
0,799,#,,,x,,,,,,,,,,,,,,,,,,,,
0,800,4^,x,,,,,,,,,,,,,,,,,,,,,,
0,801,Parabéns pelo trabalho,,,,,,x,,,,,,,,,,,,,,,,,x
0,802,crush,,,,,,,,,,x,,,,,,,,,,x,,,
0,803,$$^53:^3'3&@^'26@1/&#3,x,,,,,,,,,,,,,,,,,,,,,,
0,804,belos sampleados e do ia,,,,,,x,,,,,,,,,,,,,,,,,x
0,805,put a keep are you,,,,,,,,,,x,,,x,,,,,,,,,,
0,806,PaPapaPa,,,,x,,,,,,,,,,,,,,,,,,,
0,807,meirieli linda,,,,,,,x,,,,,,,,,,,,,x,,,
0,808,quais são suas influencias musicais?,,,,,,x,,,,,,,,,x,,,,,,,,
0,809,meiriele gata,,,,,,,x,,,,,,,,,,,,,x,,,
0,810,xenakis e ines brasil,,,,,,,x,,,,,,,,,,,,,,,x,
0,811,Kkkkkkkkkkkkmkmmmm,,,,,,,,,x,,,,,,,,,,,,,,
0,812,Taca,,,,,,,,,,x,,,,,,,,,,,,,x
0,813,Segura o TCHAN,,,,,,,,,,x,,,,,,,,,,,,,x
0,814,taca,,,,,,,,,,x,,,,,,,,,,,,,x
0,815,Yyyyyyyy,,x,,,,,,,,,,,,,,,,,,,,,
0,816,Taca,,,,,,,,,,x,,,,,,,,,,,,,x
0,817,Rrrrrrrrrrrrrrrr,,,,x,,,,,,,,,,,,,,,,,,,
0,818,Taca,,,,,,,,,,x,,,,,,,,,,,,,x
0,819,Hauahauahauahauahauayau,,,,,,,,,x,,,,,,,,,,,,,,
0,820,xenakis forever,,,,,,,x,,,,,,,,,,,,,,,x,
0,821,kk k  kkk   kk k k    k k,,x,,,,,,,,,,,,,,,,,,,,,
0,822,Claudinho e buchecha,,,,,,,x,,,,,,,,,,,,,,,x,
0,823,bora na corrida naruto,,,,,,,,,,x,,,,,,,,,,,x,,
0,824,Yyyyyyyyyyyy,,x,,,,,,,,,,,,,,,,,,,,,
0,825,Uuuuuuuuyyyyuyyyy,,x,,,,,,,,,,,,,,,,,,,,,
0,826,xixixixixixixixixxiixxixixixixixixi,,x,,,,,,,,,,,,,,,,,,,,,
0,827,Taca Lepau,,,,,,,,,,x,,,,,,,,,,,,,x
0,828,Rrrrrrrrrrrrrrrrrrrrrr,,,,x,,,,,,,,,,,,,,,,,,,
0,829,kkkkkkkkkkkkk,,,,,,,,,x,,,,,,,,,,,,,,
0,830,vai leleke,,,,,,,,,,x,,,,,,,,,,,,,x
0,831,Os mano tao tipo bomba e minas..,,,,,,,,,,x,,,,,,,,,,,,x,
0,832,sem justu hein,,,,,,,,,,x,,,,x,,,,,,,,,
0,833,parece bitols,,,,,,x,,,,,,,,,,,,,,,,,x
0,834,basta!,,,,,,,,,,,x,,,,,,,,,,,,
0,835,Não quero ir embora,,,,,,x,,,,,,,,,,,,,x,,,,x
0,836,AQUI E TIRO PORRADA E BOMBA,,,,,,x,,,,,,,,,,,,,,,,,x
0,837,Pedala robinho,,,,,,,,,x,,,,,,,,,,,,,,
0,838,Pavê ou pacomê,,,,,,,,,x,,,,,,,,,,,,,,
0,839,BEIJIM NU OMBRU,,,,,,,,,,x,,,,x,,,,,,,,x,
0,840,Bota na cabeça que estilo não é marra,,,,,,,,,,x,,,,x,,,,,,,,x,
0,841,Bang bang,,,,x,,,,,,,,,,,,,,,,,,,
0,842,JULY BABY,,,,,,,x,,,,,,,,,,,,,x,,,
0,843,quieto!,,,,,,,,,,,x,,,,,,,,,,,,
0,844,O ze eh bonito,,,,,,,x,,,,,,,,,,,,,x,,,
0,845,:(,,,,,,,,,,,,x,,,,,,,,,,,
0,846,DESEJO A TODAS INIMIGAS VIDA LONGA,,,,,,,,,,x,,,,x,,,,,,,,x,
0,847,mezzo!,,,,,,,,,,,x,,,,,,,,,,,,
0,848,quieto!,,,,,,,,,,,x,,,,,,,,,,,,
0,849,Voltaaaaaa,,,,,,,,x,,,,,,,,,,,,,,,
